states,year,y,Slim,abdominal,apnea,autoregression data,calories,cholesterol,diabetic,diet,dietary,dresses plus size,exercise,food delivery near me,gastric,healthy,how to lose weight,inactivity,insulin,malnutrition,mcdonalds menu,mcdonalds near me,meals,nutrition,obese,pizza delivery,symptoms of  high blood sugar,symptoms of congestive heart failure,unhealthy,visceral,weighing,weight loss,wellness
Delaware,2012,26.9,80.59843881791366,99.94694602695112,100.61513565721074,28.8,104.47286220243194,103.83726181399899,77.53932835546892,82.36266839804058,95.75790829680051,72.41714059353322,107.63379706510722,567.3952038920934,80.13318252243891,92.82398796439186,81.14359444670828,0.0,86.20769045058516,49.33293633978865,100.69016740288751,184.28386849993927,87.7037517698954,83.1677191537163,79.47221326592168,74.2633367748947,0.0,0.0,107.68848389755256,82.73401731010613,124.93138151937508,96.50811695004484,37.62092968286152
District of Columbia,2012,21.9,66.49371202477876,88.56058508717189,81.53295475670525,23.8,128.18756098457905,81.96711286885237,47.97397293935488,70.36280942614063,65.06627102218496,50.831262147383896,79.72873856674609,715.7338192887191,59.51067231445831,79.75987113977374,56.58698033783603,46.683735862281786,54.47847104863368,68.58481393580374,91.22934630462963,269.0275452553858,61.64684001217286,83.78377633263273,70.49954402622085,127.30857732839092,39.49531719073642,0.0,77.29786880989968,71.78392678376855,50.59720951534691,87.40357761513495,38.304946586186276
Florida,2012,25.2,77.91182419064987,90.45831191046842,78.06346732024971,26.6,94.21785732366561,87.11303026673744,64.15124288402106,85.08990907347238,68.1354347496465,48.742306168724284,85.99313945413327,385.6804000312269,61.8675306239418,88.69847738819666,65.66225076937577,57.66814430046574,68.24775494004659,59.56049631267167,114.20562611468449,123.75267081747748,72.45092537513099,67.76628968080588,74.34497370037835,107.41661212082984,52.824986742609966,60.97895718260637,77.95853435528345,69.95891169604562,60.591720036896916,90.43842406010492,37.62092968286152
Georgia,2012,29.1,78.58347784746582,89.1931606949374,75.75047569594602,28,96.1406707384343,83.25359221694526,61.36205841080275,79.63542772260878,56.47261258529261,67.5429099766608,80.29822955650856,723.1507500585504,58.92145773708744,77.00953075564361,70.46680570372034,60.41424641001173,61.66244525284911,54.7475269136679,108.12366969437585,108.95615582843125,78.80626970628283,66.53417532297304,73.06316380899251,82.22012285791914,71.09157094332556,78.03239436079289,77.95853435528345,68.742234970897,61.84103385209067,98.93599410602081,33.516828262912995
Idaho,2012,26.8,74.55355590657012,91.72346312599946,95.41090450252743,27.1,102.55004878766326,88.58329238278179,66.3825904625957,91.63528669450872,102.51006849721593,49.43862482827749,105.9253240958198,155.755546166457,62.45674520131268,104.5129345969449,68.86528739227215,74.14475695774166,93.39166465480059,94.454524455449,72.30770410811385,157.3811139744007,104.2276470308902,80.70349043805064,99.34026658240211,59.67589562268324,0.0,0.0,117.59846707830893,77.25897204693733,88.07662397115944,92.86630121608088,41.041014199485296
Illinois,2012,28.1,69.8519803088585,89.82573630270291,72.8592361655664,27.1,112.80505366642957,79.94550245998056,58.01503704294078,74.72639450683153,63.224772785708026,60.57972338112875,79.72873856674609,415.348123110552,52.440097386007814,82.51021152390388,68.86528739227215,64.99108325925503,61.06378073583116,54.7475269136679,120.28758253499313,195.04497031015472,64.82451217774877,88.09617658504764,78.83130832022877,83.54625387175653,42.457465980041654,52.71062400530381,85.88652089988854,87.6007242107006,59.342406221703165,83.761761881171,36.252895876212015
Indiana,2012,31.4,72.5385949361223,97.41664359588907,79.79821103847749,30.8,97.4225463482801,92.99407872540141,78.0971652501126,80.7263239927815,84.70891887793891,77.98768986995886,96.24397726985778,174.29787309103523,62.45674520131268,92.82398796439186,75.2713606380649,76.89085906728765,95.18765820585445,70.99129863530563,114.88139905027434,63.221473135015664,88.97482063612577,86.2480050482984,94.85393196255168,73.600271267976,71.09157094332556,77.51562353721148,97.11783517141242,83.34235567268043,80.58074107999693,86.79660832614096,34.20084516623775
Iowa,2012,30.4,68.5086729952266,97.41664359588907,95.98915240860335,29,103.19098659258614,93.17786148783941,76.42365456618161,80.7263239927815,110.48989418861596,74.50609657219283,99.09143221867014,148.33861539662573,65.40281808816705,114.13912594140035,70.46680570372034,70.48328747834701,89.79967755269288,117.9177502755924,97.31130272493827,24.212479072984724,102.95657816465982,94.25674837421181,92.93121712547293,90.83997444786228,33.07732814724175,0.0,87.20785199065605,94.90078456159232,76.2081427268188,88.61751619312294,43.77708181278432
Kansas,2012,29.9,81.94174613154556,94.88634116482702,80.95470685062934,29.6,101.90911098274036,90.60490278614014,75.86581767153794,82.90811653312694,84.0950861324466,59.187086062022345,95.10499529033282,155.755546166457,61.278316046570936,95.57432834852199,74.73752120091551,79.63696117683364,76.62905817829792,63.77184453679997,106.77212382319615,45.734682693415586,102.32104373154463,88.71223376396406,88.44488250562252,78.24172981640692,87.38338928450433,0.0,87.20785199065605,97.33413801188956,70.58623055844693,95.29417837205686,34.20084516623775
Kentucky,2012,31.3,80.59843881791366,108.1704289279028,94.25440869037558,30.4,103.19098659258614,93.91299254310486,87.58039245905483,89.99894228924964,76.11526044104656,91.21774440146973,92.82703133128294,178.00633847595088,75.41946590347192,86.63572210009906,93.95574093829379,80.5523285466823,90.99700658672879,57.154011613169786,125.01799308412208,40.354131788307875,86.43268290366504,85.01589069046555,98.69936163670918,65.64348518495157,89.35815514404116,0.0,91.1718452629586,77.86731040951165,69.96157365085004,111.07537988590067,35.568878972887255
